title,description,authors,publisher,published_date,categories,ratings_count
Cascade Point and Other Stories,"This collection of fifteen science fiction tales features the Hugo Award-winning title story and includes the never-before-published ""Not Always The Strong""",Timothy Zahn,St Martins Press,1986,Fiction,0
The soul of man under socialism,The soul of man under socialism by Oscar Wilde is a fascinating libertarian socialist world-view and a critique of charity. Oscar Wilde is widely accepted as being one of the greatest authors who ever lived. This is an excellent addition to the collection and a masterful piece of literature.,Oscar Wilde,,2016-11-23,,0
Prep for PRAXIS: PRAXIS II Exam 2003 (Arco Master the Praxis II Exam),,,,2001-10,Children's libraries,0
"Bye-Bye, Mom and Dad",Little Critter thinks he is in charge when Mom and Dad go away for the day even though Grandma and Grandpa spend the day with him.,Mercer Mayer,,2004,Families,0
The Scarletti Curse (Candleglow),,Christine Feehan,,,,0
Universal Secrets of Telecosmic Power,,Norvell,Reward Books,1974-01-01,Success,0
The Visitor's Guide to Normandy Landing Beaches: Memorials and Museums (Regional Traveller),,"Tonie Holt, Valmai Holt",Hunter Pub Incorporated,1994-01-01,Travel,0
The Bar Code Implementation Guide: Using Bar Codes in Distribution,,"Stephen L. Pearce, Richard D. Bushnell",Tower Hill Press,2000,Business & Economics,0
Principles of Biblical Interpretation (Sacred Hermeneutics),,Louis Berkhof,,1962,Bible,2.0
Cruel and Unusual (G K Hall Large Print Book Series (Cloth)),"Wanneer er in dit achtste deel in de Kay Scarpetta-serie tien lijken worden gevonden in Amerika en Engeland, lijkt er één dader te zijn. Maar hoe kan de moordenaar op twee plekken tegelijk zijn? Onnatuurlijke dood is het achtste boek uit de bloedstollende bestsellerserie rond patholoog-anatoom Kay Scarpetta van auteur Patricia Cornwell. Deze serie, bestaande uit meer dan 20 bloedstollende crimethrillers, betekende Patricia Cornwells doorbraak als grondlegger van de pathologisch-anatomische thril",Patricia Cornwell,Luitingh Sijthoff,2017-06-01,Fiction,0
Gaston de Blondeville (The modern novelists),,Ann Radcliffe,,1834,Great Britain,0
Screenwriter: Words Become Pictures/304506,,"Rob Dückers, Karin van Lieverloo, Museum Het Valkhof Nijmegen",,2005,"Illumination of books and manuscripts, Dutch",0
"The Art of Technical Documentation, Second Edition","An essential text in the field of contemporary art history, it has now been updated to represent 30 countries and over 100 new artists. The internationalism evident in this revised edition reflects the growing interest in contemporary art throughout the world from the U.S. and Europe to the Middle East, Asia, Africa, Latin America, and Australia.","Kristine Stiles, Peter Selz",Univ of California Press,2012-09-25,Art,1.0
Engendering Culture: Manhood and Womanhood In New Deal Public Art and Theater,,Barbara Melosh,,1991,"Arts, American",0
The Rabbi's Cat,"Gaining the ability to speak after swallowing a parakeet, the rabbi's cat uses his newfound talent to tell lies, the consequences of which lead to being banned from contact with the rabbi's daughter and an education in the Torah, despite his preference for the Kabbalah and his desire for a bar mitvah. Mature.",Joann Sfar,Pantheon,2005,Comics & Graphic Novels,25.0
JFK: The Last Dissenting Witness,"Jean Hill, the ""lady in red"" in Zapruder's Kennedy assassination film, saw a gunman on the famous grassy knoll on November 22, 1963. That gunman was NOT Lee Harvey Oswald. In this highly personal narrative, Hill discloses the trauma and intimidation she experienced as well as her struggle to keep her career and her sanity after she, a single mother of two, became embroiled in the greatest murder mystery of the century.","Sloan, Bill",Pelican Publishing,2010-09-23,History,1.0
"FORCE, RECIPROCAL FORCE AND COMPRESSION CAUSE GRAVITY","Studying British Cultures is a volume of essays which offers a useful introduction to a contentious area. The contributors, who have been instrumental in establishing the discipline of British Cultural Studies, explore a wide range of critical debates on cultural identity and explode the myth that Britain is made up of a homogenous people. The first half of the book traces examines the theory and methodology of studying British cultures, in disciplines variously known as British Studies, Cultura",John Malatich,,2002-08,Political Science,0
Triumph in the Philippines (United States Army in World War II. The War in the Pacific),,Robert Ross Smith,,1984,,0
From Potter's Field,"The sixth book in the Kay Scarpetta series, from No. 1 bestselling author Patricia Cornwell. 'America's most chilling writer of crime fiction' The Times Christmas had never been a particularly good time for Dr Kay Scarpetta. Although a holiday for most, it always seem to heighten the alienation felt by society's violent fringe; and that usually means more work for Scarpetta, Virginia's Chief Medical Examiner. The body was naked, female and found propped against a fountain in a bleak area of New ",Patricia Cornwell,Hachette UK,2008-09-04,Fiction,19.0
Love Rekindled: A Novel,"Can a forsaken wife forgive her wayward husband who wants to return after years of chasing after his own pleasures? A crisis forces a fractured family to face their hurts, fears, and longings. He seems to have changed, but can his family trust him? Here's a delightfully subtle relationship story with a twist--It's told from the man's point of view.",Candi Adermatt,Cladach Pub,2004,Fiction,0
Close to Home Revisited,,John McPherson,Andrews McMeel Publishing,1995-09-01,Humor,0
The Starchild Trilogy,"The mysterious being, Starchild, threatens to extinguish the Earth's sun and destroy its ruler, the Plan of Man","Frederik Pohl, Jack Williamson",,1986,Fiction,1.0
Study Guide for Use With Financial Accounting,,"Walter B. Meigs, Robert F. Meigs",,1979,Accounting,0
Lost Cities of Africa and Arabia (The Lost City Series),"Join Childress as he discovers forbidden cities in the Empty Quarter of Arabia, 'Atlantean' ruins in Egypt and the Kalahari desert; a mysterious, ancient empire in the Sahara; and more. This is an extraordinary life on the road: across war torn countries Childress searches for King Solomon's Mines, living dinosaurs, the Ark of the Covenant and the solutions to the fantastic mysteries of the past.",David Hatcher Childress,Adventures Unlimited Press,1989,"Body, Mind & Spirit",2.0
Lincoln reconsidered;: Essays on the Civil War era,"A “brilliant” look at America’s sixteenth president by the New York Times–bestselling, Pulitzer Prize–winning author of Lincoln (American Historical Review). First published in 1956 and revised and updated for the twenty-first century, Lincoln Reconsidered is a masterpiece of Civil War scholarship. In a dozen eloquent, witty, and incisive essays, the author of the definitive biography of Abraham Lincoln offers a fresh perspective on topics previously shrouded in myth and hagiography and brings t",David Herbert Donald,Open Road Media,2016-03-22,History,0
Economics in one lesson,"With over a million copies sold, Economics in One Lesson is an essential guide to the basics of economic theory. A fundamental influence on modern libertarianism, Hazlitt defends capitalism and the free market from economic myths that persist to this day. Considered among the leading economic thinkers of the “Austrian School,” which includes Carl Menger, Ludwig von Mises, Friedrich (F.A.) Hayek, and others, Henry Hazlitt (1894-1993), was a libertarian philosopher, an economist, and a journalist.",Henry Hazlitt,Currency,2010-08-11,Business & Economics,18.0
Poltergeist: The Legacy 01: The Hidden Saint,The ghostly visitation from a young boy killed in a terrorist bombing sends Alex Moreau on a journey to keep the child's mother from a desperate act that would endanger her own soul and unleash an evil force on the world,Rick Hautala,,1999,Fiction,0
"Introduction to mathematical philosophy, (Library of Philosophy)",,Bertrand Russell,,1948,Mathematics,0
